Event	ID	Name			Wwise Object Path	Notes
	85412153	Ambience			\Default Work Unit\Environment\Ambience	
	535830432	Door_Open			\Default Work Unit\Environment\Door_Open	
	2385628198	Footsteps			\Default Work Unit\Player\Footsteps	
	3431057813	Trashcan			\Default Work Unit\Player\Trashcan	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	176477860	Silence	Wwise Silence		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\New Silence\Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28927367	metal_02	.cache\DB\{DB0F7F8B-F7E0-31A6-D6A1-001516F9422D}.wem		\Containers\Default Work Unit\Player\TrashCan\metal_02		42004
	50891710	Amb_SFX_02	.cache\FD\{FD9B5471-F017-1D03-E787-FA7DF443B2AE}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_02		1879968
	69565885	Amb_SFX_07	.cache\2D\{2DEDD497-68B2-C647-3355-5B2D4018233C}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_07		2136328
	98552668	metal_06	.cache\36\{3672A50C-C18B-C610-587D-161548ED8773}.wem		\Containers\Default Work Unit\Player\TrashCan\metal_06		46796
	133313014	Amb_SFX_16	.cache\A9\{A9670EE2-79AD-7B1F-4781-F21C1E262E5D}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_16		2196028
	241335881	125509-Footsteps_on_carpet_or_rug_in_rubber_platforms_walking_with_a_stomp_in_a_loop_03	.cache\CE\{CEE80A93-071A-64B2-9C61-4A36E0AAC9A2}.wem		\Containers\Default Work Unit\Player\Carpet\125509-Footsteps_on_carpet_or_rug_in_rubber_platforms_walking_with_a_stomp_in_a_loop_03		100012
	259744297	metal_03	.cache\57\{5752324B-D941-05F8-3B9E-0E00EE562EEE}.wem		\Containers\Default Work Unit\Player\TrashCan\metal_03		47994
	386087460	Amb_SFX_04	.cache\B4\{B4DD11DE-9F21-0A38-6D33-6E06FB4D7770}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_04		1258540
	398573688	Amb_SFX_12	.cache\59\{593B63E2-2D93-B39D-55EC-2C7A4D766EBC}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_12		1439344
	415405995	metal_08	.cache\75\{756CBF91-4757-D4FB-1E75-88580D7FEE23}.wem		\Containers\Default Work Unit\Player\TrashCan\metal_08		52778
	446606984	Amb_SFX_08	.cache\D9\{D958BBED-41D6-335D-2AB3-2778A87627A8}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_08		1638356
	462025305	Amb_SFX_10	.cache\55\{5563E57E-D97E-5AD3-ED47-ACB8630F64B0}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_10		1728896
	579512778	Amb_SFX_09	.cache\1C\{1C730EF0-04EB-1842-9862-DECD32598D9C}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_09		1683628
	593664744	125509-Footsteps_on_carpet_or_rug_in_rubber_platforms_walking_with_a_stomp_in_a_loop_01	.cache\F2\{F2C6D361-5E55-862C-354B-9CAF6932BD21}.wem		\Containers\Default Work Unit\Player\Carpet\125509-Footsteps_on_carpet_or_rug_in_rubber_platforms_walking_with_a_stomp_in_a_loop_01		80356
	627332523	Amb_SFX_13	.cache\FD\{FD06DC52-3296-A099-0B80-A06BDBCD2C1E}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_13		1130648
	657288977	Amb_SFX_14	.cache\A0\{A0BA22E7-CAE5-9131-3465-02A0EF76F6B7}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_14		1037192
	659352307	Amb_SFX_03	.cache\67\{6707A855-BEB8-6908-1AE4-26A20DF0E00A}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_03		1291464
	662044889	metal_04	.cache\BF\{BF8C275A-9E6E-D85F-953A-0F19F212170F}.wem		\Containers\Default Work Unit\Player\TrashCan\metal_04		45592
	693336430	DoorOpen3	.cache\B9\{B9F6E8D5-435B-FFE3-0BC3-059301F8439C}.wem		\Containers\Default Work Unit\Environment\DoorOpen\DoorOpen3		120796
	731121556	metal_05	.cache\39\{39DFBA31-5672-7282-3CE3-0B10C8953A74}.wem		\Containers\Default Work Unit\Player\TrashCan\metal_05		40812
	770337719	125509-Footsteps_on_carpet_or_rug_in_rubber_platforms_walking_with_a_stomp_in_a_loop	.cache\75\{7511C9B0-7DC8-3C36-013E-6A45E0BD3474}.wem		\Containers\Default Work Unit\Player\Carpet\125509-Footsteps_on_carpet_or_rug_in_rubber_platforms_walking_with_a_stomp_in_a_loop		109840
	773246950	Amb_SFX_06	.cache\8D\{8D8F2908-F1E4-6725-77C9-9DDBA2917854}.wem		\Containers\Default Work Unit\Environment\Ambience\Amb_SFX\Amb_SFX_Rand\Amb_SFX_06		1502552
